position_api,position_calculated,title,publication,authors,self_citation_status,matched_text,link,data_cid
5,665,PROC È S,"LLG Williams, LP Dolenc, P le Greffe, MC Hometowu… - 1963 - ucr.irmct.org",LLG Williams; LP Dolenc; P le Greffe; MC Hometowu…,NO AUTOCITA,,https://ucr.irmct.org/LegalRef/CMSDocStore/Public/French/Transcript/NotIndexable/ICTR-97-20/TRS15386R0000612175.PDF,2XrDdy-SuncJ
6,666,Forkhead 转录因子超家族成员——FOXL2,李武修， 孙岩 - 2006,李武修， 孙岩,AUTOCITA,李武修， 孙岩,,wz0QDaGbru4J
7,667,Forkhead transcription factors in genetic disease,"D Baetens, H Verdin, M Cools, E De Baere - eLS, 2013 - Wiley Online Library",D Baetens; H Verdin; M Cools; E De Baere,NO AUTOCITA,,https://onlinelibrary.wiley.com/doi/abs/10.1002/9780470015902.a0024256,8S2hCRBhJAkJ
8,668,卵巢早衰动物模型构建方法及比较研究进展,"李虹璇， 李思慧， 冯嘉欣， 唐凯， 卢蕊， 韩丝银 - 实验动物与比较医学, 2021 - slarc.org.cn",李虹璇， 李思慧， 冯嘉欣， 唐凯， 卢蕊， 韩丝银,AUTOCITA,李虹璇， 李思慧， 冯嘉欣， 唐凯， 卢蕊， 韩丝银,https://www.slarc.org.cn/dwyx/CN/Y2021/V41/I6/505,OYR8tiske54J
9,669,性别相关基因在牛早期性别发育中的表达规律研究,"徐超， 李凤， 郝海生， 刘岩， 赵学明， 庞云渭， 朱化彬… - 畜牧兽医学报, 2017 - html.rhhz.net",徐超， 李凤， 郝海生， 刘岩， 赵学明， 庞云渭， 朱化彬…,AUTOCITA,徐超， 李凤， 郝海生， 刘岩， 赵学明， 庞云渭， 朱化彬…,https://html.rhhz.net/XMSYXB/html/2017/10/20171012.htm,QzB2dXpaRtUJ
10,670,Notch function in mouse folliculogenesis,J Xu - 2011 - search.proquest.com,J Xu,NO AUTOCITA,,https://search.proquest.com/openview/ae1855192973895d83653309f045e259/1?pq-origsite=gscholar&cbl=18750,8z_G-urhLlQJ
11,671,Age-related hamster mitochondrial changes and oocyte changes following autologous platelet mitochondrial microinjection,F Li - 2011 - search.proquest.com,F Li,NO AUTOCITA,,https://search.proquest.com/openview/fa96e1f288db13e75248c53218901bd8/1?pq-origsite=gscholar&cbl=18750,a2KHWA6aoo4J
12,672,La différenciation ovarienne précoce et son contrôle génétique,"A Baillet, B Mandon-Pépin, R Veitia… - Biologie aujourd' …, 2011 - biologie-journal.org",A Baillet; B Mandon-Pépin; R Veitia,NO AUTOCITA,,https://www.biologie-journal.org/articles/jbio/abs/2011/04/jbio2011021/jbio2011021.html,oQi7iPtkoSoJ
13,673,Establishing and maintaining the mammalian ovarian follicle pool,SK Bristol-Gould - 2006 - search.proquest.com,SK Bristol-Gould,NO AUTOCITA,,https://search.proquest.com/openview/ec42c40aba54791ec90d7b4562abf224/1?pq-origsite=gscholar&cbl=18750&diss=y,VTF0H8sv-H0J
14,674,Ovarian activation delays in peripubertal ewe lambs infected with Haemonchus contortus can be avoided by supplementing protein in their diets,"L Morita-Katiki, SM Tsai, H Louvandini - 2021 - academia.edu",L Morita-Katiki; SM Tsai; H Louvandini,NO AUTOCITA,,https://www.academia.edu/download/125323155/s12917-021-03020-7.pdf,GwWF-dW5XFMJ
15,675,Normal and abnormal female sexual differentiation,"N di Clemente, J Gonzalès, R Rey - Expert Review of Obstetrics & …, 2009 - Taylor & Francis",N di Clemente; J Gonzalès; R Rey,NO AUTOCITA,,https://www.tandfonline.com/doi/abs/10.1586/eog.09.22,0973B1sknLkJ
16,676,Protein Phosphatase 4 (PPP4) Prevents Female Reprogramming in the Mouse Testis After Sex Determination and Protects Male Fertility,"F Han, MZ Dong, WL Lei, ZL Xu, F Gao, H Schatten… - 2021 - scholar.archive.org",F Han; MZ Dong; WL Lei; ZL Xu; F Gao; H Schatten…,NO AUTOCITA,,https://scholar.archive.org/work/27xzqzyrozgsbldr7geb6y6nta/access/wayback/https://assets.researchsquare.com/files/rs-505055/v1/efe70e28-c27a-4a86-b4cf-484e14b20c1e.pdf?c=1621894036,XrYeF7N709UJ
17,677,Cellular and molecular aspects of ovarian follicle ageing,"P Piomboni - Human Reproduction Update, 2008 - academia.edu",P Piomboni,NO AUTOCITA,,https://www.academia.edu/download/45103746/HRU_Ovarian_aging.pdf,WoQYNQxZNW8J
18,678,"Germ Cell Derivation from Pluripotent Stem Cells for Understanding In Vitro Gametogenesis. Cells 2021, 10, 1889","TK Hong, JH Song, SB Lee, JT Do - 2021 - pdfs.semanticscholar.org",TK Hong; JH Song; SB Lee; JT Do,NO AUTOCITA,,https://pdfs.semanticscholar.org/7f1b/ede885149b29398c9453f7b68cc1eee39cd4.pdf,9ReStNL8288J
19,679,Genetyczne podłoże zaburzeń determinacji płci i rozwoju gonad,"RP Piprek - Endokrynologia Polska, 2008 - journals.viamedica.pl",RP Piprek,NO AUTOCITA,,https://journals.viamedica.pl/endokrynologia_polska/article/viewFile/25522/20346I,iKdUhkEz01QJ
20,680,Étude des gènes impliqués dans le déterminisme gonadique chez l'homme,C Hyon - 2016 - theses.hal.science,C Hyon,NO AUTOCITA,,https://theses.hal.science/tel-01539508/,pTdehUsQwZEJ
1,681,EffEcts of sEx stEroid rEcEptor agonists and antagonists on thE ExprEssion of thE foxL2 transcription factor and its targEt gEnEs AMH and CYP19A1 in thE …,"P Witek, N Marek, M Grzesiak, M Słomczyńska… - 2022 - sciendo.com",P Witek; N Marek; M Grzesiak; M Słomczyńska,NO AUTOCITA,,https://sciendo.com/pdf/10.2478/aoas-2021-0037,_FoxRxxweoUJ
2,682,"Developmental dynamics of primordial germ cells, their genetic determinants and role in sex differentiation in Gambusia holbrooki",K Razmi - 2022 - figshare.utas.edu.au,K Razmi,NO AUTOCITA,,https://figshare.utas.edu.au/articles/thesis/Developmental_dynamics_of_primordial_germ_cells_their_genetic_determinants_and_role_in_sex_differentiation_in_Gambusia_holbrooki/23247089,WoDJhWxF-dYJ
3,683,and personal autonomy,"I Segarra, M Menárguez, MV Roqué - farmaceuticoscatolicos.es",I Segarra; M Menárguez; MV Roqué,NO AUTOCITA,,https://farmaceuticoscatolicos.es/wp-content/uploads/2025/11/Efectos-de-los-anticonceptivos.-CASTELLANO.pdf,GKdCA-zgRV8J
4,684,Development of inhibitors targeting cell morphology in Campylobacter jejuni and structural insights into allosteric modulation of FOX transcription factors on TP53 …,최유리 - 2022 - s-space.snu.ac.kr,최유리,AUTOCITA,최유리,https://s-space.snu.ac.kr/handle/10371/181180,YG0BAl0ejxcJ
5,685,年轻女性癌症患者的生育力保存,"严杰， 乔杰 - 国际生殖健康/计划生育杂志, 2011 - gjszjk.ac.cn",严杰， 乔杰,AUTOCITA,严杰， 乔杰,https://www.gjszjk.ac.cn/CN/abstract/abstract747.shtml,32rafbXsX3gJ
6,686,Uticaj smanjene funkcije štitaste žlezde majki na razvoj jajnika mladunaca pacova u ranom postnatalnom periodu,"J Danilović-Luković - Универзитет у Београду, 2017 - nardus.mpn.gov.rs",J Danilović-Luković,NO AUTOCITA,,https://nardus.mpn.gov.rs/handle/123456789/8253,9LSNXYFTdo8J
7,687,"FOXL2, le gardien de l'identité ovarienne","M Pannetier, E Pailhoux - médecine/sciences, 2010 - medecinesciences.org",M Pannetier; E Pailhoux,NO AUTOCITA,,https://www.medecinesciences.org/articles/medsci/full_html/2010/06/medsci2010265p470/medsci2010265p470.html,KW2EzoihhdoJ
8,688,"SPATS1 (spermatogenesis-associated, serine-rich 1) is not essential for spermatogenesis and fertility in mouse","CA Capoano Bevilacqua, LA Ortiz-Laquintana… - 2021 - lareferencia.info",CA Capoano Bevilacqua; LA Ortiz-Laquintana…,NO AUTOCITA,,https://www.lareferencia.info/vufind/Record/UY_9bd1f723f2aa8a2e642c317bcc5d1e67,weEtXoDPK4AJ
9,689,Identification of Regulators of Female Germ Cell Development and Regeneration in the Planarian Schmidtea mediterranea,UW Khan - 2021 - search.proquest.com,UW Khan,NO AUTOCITA,,https://search.proquest.com/openview/c4a4fdd99f2240804ab8a4903c2abe06/1?pq-origsite=gscholar&cbl=18750&diss=y,AE9zwDaRB08J
10,690,两广小花猪FOXL2基因多态性及其与几个重要经济性状的关联分析,"廖伟莉， 张笑科， 曾检华， 阳林芳， 李硕， 胡梦婷… - 畜牧兽医学报, 2023 - html.rhhz.net",廖伟莉， 张笑科， 曾检华， 阳林芳， 李硕， 胡梦婷…,AUTOCITA,廖伟莉， 张笑科， 曾检华， 阳林芳， 李硕， 胡梦婷…,https://html.rhhz.net/XMSYXB/html/2023/3/1679383540034-1453474745.htm,tFZfhc79dwYJ
11,691,Recent advances in understanding primary ovarian insufficiency [version 1; peer review: 3 approved],"V Wesevich, AN Kellen, L Pal - 2020 - pdfs.semanticscholar.org",V Wesevich; AN Kellen; L Pal,NO AUTOCITA,,https://pdfs.semanticscholar.org/0a61/cc32f181f3bb7e0f3a3268b35ffe0d9bebff.pdf,PR6690DrZhQJ
12,692,Des souris et des femmes: une ovogenèse fœtale similaire?,"C Gobé, B Mandon-Pépin - Médecine de la Reproduction, 2019 - stm.cairn.info",C Gobé; B Mandon-Pépin,NO AUTOCITA,,https://stm.cairn.info/revue-medecine-de-la-reproduction-2019-2-page-111,zkFr_3tkrF8J
13,693,"Functional Analysis of Subcortical Maternal Complex Associated Gene, PADI6, in Bovine Oocytes and Embryos",CH Coll - 2020 - etheses.whiterose.ac.uk,CH Coll,NO AUTOCITA,,https://etheses.whiterose.ac.uk/id/eprint/27102/,UZ7l2HttV3gJ
14,694,Odd-skipped related 2 (OSR2) is differentially expressed in high-grade serous ovarian cancers.,S Mamoor - osf.io,S Mamoor,NO AUTOCITA,,https://osf.io/download/uwjt4,g6b9TBSoUFwJ
15,695,The forkhead box L2 transcription factor (FOXL2) is differentially expressed in high-grade serous ovarian cancers.,S Mamoor - osf.io,S Mamoor,NO AUTOCITA,,https://osf.io/download/8nt6v,hLZZ_IZvbkYJ
16,696,Implications for Understanding DSD,"A Bouty, K Ayers, A Sinclair - Disorders| Differences of Sex …, 2020 - books.google.com",A Bouty; K Ayers; A Sinclair,NO AUTOCITA,,https://books.google.com/books?hl=en&lr=&id=c-jqDwAAQBAJ&oi=fnd&pg=PA12&ots=QkwRf0CKX5&sig=FDgl35VoyklO8sRj0YwqebAcA-o,6UtkKraawq4J
17,697,Стране директне инвестиције као фактор јачања конкурентности привреде и предузећа,С Вујовић - 2012 - search.proquest.com,С Вујовић,AUTOCITA,С Вујовић,https://search.proquest.com/openview/42e2ab279bc3692232f70c20dd2f32cd/1?pq-origsite=gscholar&cbl=2026366&diss=y,_yKJqdRSt84J
18,698,Increased FOXL2 Expression Alters Uterine Structures and Functions.,FJ Yao - scholar.archive.org,FJ Yao,NO AUTOCITA,,https://scholar.archive.org/work/5btn7ocagbbvdfg4owl2uuohqa/access/wayback/https://www.biorxiv.org/content/10.1101/2020.03.06.981266v1.full.pdf,BkiSlRC0xY0J
19,699,King's Research Portal,"T Nagai, S Trakanant, M Kawasaki, K Kawasaki… - academia.edu",T Nagai; S Trakanant; M Kawasaki; K Kawasaki,NO AUTOCITA,,https://www.academia.edu/download/72107923/MicroRNAs_control_eyelid_development_NAGAI_Publishedonline4January2019_GREEN_AAM.pdf,pj_Q-GvQ2RoJ
20,700,Recent advances in understanding primary ovarian insufficiency,"W Victoria, AN Kellen, P Lubna - F1000Research, 2020 - search.proquest.com",W Victoria; AN Kellen; P Lubna,NO AUTOCITA,,https://search.proquest.com/openview/0d5d881806d09b5d3c3bd302a133211a/1?pq-origsite=gscholar&cbl=2045578,vq1M7OUBrU0J
1,701,C: CRISPR as a tool for characterising human infertility,"ZE Kherraf, M Christou-Kent - Caractérisation de l'arrêt de la …, 2019 - theses.hal.science",ZE Kherraf; M Christou-Kent,NO AUTOCITA,,https://theses.hal.science/tel-03130592/file/CHRISTOU-KENT_2019_archivage.pdf#page=189,-BgATZ1EDUUJ
2,702,Study of genetic factors and temperature influence on sex determination and differentiation in turbot,DR Sánchez - minerva.usc.es,DR Sánchez,NO AUTOCITA,,https://minerva.usc.es/bitstreams/ae4da3a1-443e-4ced-a899-4ff5f4cd374d/download,dCCDU4_QZZAJ
3,703,"Variations in Menopause Etiology Affect Cognitive Outcomes: How Age, Menopause Type, and Exogenous Ovarian Hormone Exposures Across the Lifespan Impact …",SV Koebele - 2019 - keep.lib.asu.edu,SV Koebele,NO AUTOCITA,,https://keep.lib.asu.edu/items/157626/view,VkzlSaBXTBAJ
4,704,RUNX1 safeguards the identity of the fetal ovary through an interplay with FOXL2,"B Nicol, SA Grimm, F Chalmel, E Lecluze, M Pannetier… - bioRxiv, 2019 - biorxiv.org",B Nicol; SA Grimm; F Chalmel; E Lecluze; M Pannetier,NO AUTOCITA,,https://www.biorxiv.org/content/10.1101/598607.abstract,G1ynMtaBfloJ
5,705,Of Mice and Women: similar fetal oogenesis?,"C Gobé, B Mandon-Pépin - Médecine de la Reproduction, 2019 - jle.com",C Gobé; B Mandon-Pépin,NO AUTOCITA,,https://www.jle.com/en/revues/mtg/e-docs/des_souris_et_des_femmes_une_ovogenese_ftale_similaire__315296/article.phtml?tab=references,-jfim5o4N8AJ
6,706,Ovarian reserve,"P Monget, D Monniaux - Médecine de la Reproduction, 2019 - jle.com",P Monget; D Monniaux,NO AUTOCITA,,https://www.jle.com/en/revues/mtg/e-docs/les_reserves_ovariennes_315297/article.phtml?tab=references,wKRtX-QLgCwJ
7,707,Régulation de la détermination du sexe et de la différenciation ovarienne: implications dans les variations du développement sexuel,"A Perea-Gomez, MC Chaboissier - LE GENRE EN RECHERCHE - torrossa.com",A Perea-Gomez; MC Chaboissier,NO AUTOCITA,,https://www.torrossa.com/gs/resourceProxy?an=5913331&publisher=FZZ759#page=131,4aaybs5K6x8J
8,708,Investigating the Role of the Oocyte and Jag1 in Notch Activation in the Mammalian Ovary,NM Hubbard - 2019 - search.proquest.com,NM Hubbard,NO AUTOCITA,,https://search.proquest.com/openview/224b02042460b6afc89dd255481e2d9b/1?pq-origsite=gscholar&cbl=18750&diss=y,_KWVwLW4kJYJ
9,709,Tissue Specific Gene Expression in Chelydra serpentina,JC Kasanke - 2019 - search.proquest.com,JC Kasanke,NO AUTOCITA,,https://search.proquest.com/openview/fcbdc212c7e53cc9668fe6e34ad84d55/1?pq-origsite=gscholar&cbl=51922&diss=y,vTRjJ4TKVlkJ
10,710,Genetic Analysis of Transcription Factors Involved in Zebrafish Sex Differentiation,M Qin - 2019 - search.proquest.com,M Qin,NO AUTOCITA,,https://search.proquest.com/openview/d26cb8e876255e08d21d818f8631bce5/1?pq-origsite=gscholar&cbl=2026366&diss=y,ICpCZSsUO1EJ
11,711,"Provided for non-commercial research and educational use. Not for reproduction, distribution or commercial use.","D Monniaux, V Cadoret, F Clément, R Dalbies-Tran… - 2019 - researchgate.net",D Monniaux; V Cadoret; F Clément; R Dalbies-Tran…,NO AUTOCITA,,https://www.researchgate.net/profile/Sebastien-Elis/publication/341986744_Folliculogenesis/links/5f8ff3a9458515b7cf90f793/Folliculogenesis.pdf,qnWszGWf6ykJ
12,712,Genetic and Metabolic Markers of Ageing in Sheep Oocytes,C Topipat - 2018 - etheses.whiterose.ac.uk,C Topipat,NO AUTOCITA,,https://etheses.whiterose.ac.uk/id/eprint/22244/1/Topipat_C_Medicine_PhD_2018.pdf,Eymi3nhpN8IJ
13,713,转录调控因子 Fox 的功能及分子机制研究进展,"刘朝阳， 高绘菊， 牟志美， 刘庆信 - 昆虫学报, 2013",刘朝阳， 高绘菊， 牟志美， 刘庆信,AUTOCITA,刘朝阳， 高绘菊， 牟志美， 刘庆信,,IrcvLdC9SDoJ
14,714,"In the chick embryo, estrogen can induce chromosomally male ZZ left gonad epithelial cells to form an ovarian cortex which supports oogenesis","S Guioli, D Zhao, S Nandi, M Clinton, R Lovell-Badge - bioRxiv, 2019 - biorxiv.org",S Guioli; D Zhao; S Nandi; M Clinton; R Lovell-Badge,NO AUTOCITA,,https://www.biorxiv.org/content/10.1101/568691.abstract,LATrgm_HB4kJ
15,715,REGULATION OF GONADAL STEROID SYNTHESIS AND REPRODUCTION: NOVEL ROLES OF HYDROXYSTEROID (17β) DEHYDROGENASE,J Hakkarainen - utupub.fi,J Hakkarainen,NO AUTOCITA,,https://www.utupub.fi/bitstream/handle/10024/144222/AnnalesD1324Hakkarainen.pdf?sequence=1,2iWl0_QI-RMJ
16,716,Investigation of the effects of Anti-Müllerian Hormone on preventing Doxorubicin-induced primordial follicle loss,X Wei - 2018 - ora.ox.ac.uk,X Wei,NO AUTOCITA,,https://ora.ox.ac.uk/objects/uuid:a3805c63-45ff-4abf-a372-f2ee32d23d69,RmkOZk7x8t4J
17,717,"The Impact of Zinc Deficiency during Oogenesis, Follicle Assembly, and Growth",JM Hester - 2018 - search.proquest.com,JM Hester,NO AUTOCITA,,https://search.proquest.com/openview/4c9e9079f91adec783d5b27bef13d85c/1?pq-origsite=gscholar&cbl=18750&diss=y,WX07AdFQpJcJ
18,718,The role of X-chromosome asynapsis in the elimination of murine oocytes,B Vaz - 2018 - search.proquest.com,B Vaz,NO AUTOCITA,,https://search.proquest.com/openview/941a1d4b0d46fd22ddb8f305e8cb3c9c/1?pq-origsite=gscholar&cbl=18750&diss=y,N8raqY7gAWwJ
19,719,A genetic modifier of B6. YPOS gonadal sex reversal on chromosome 13,C Livermore - 2018 - ora.ox.ac.uk,C Livermore,NO AUTOCITA,,https://ora.ox.ac.uk/objects/uuid:c56ec290-688d-457b-9d4c-97dc1ec7fdfa,FNdJ0wnPkmkJ
20,720,"Sequential, Divergent and Cooperative Requirements of Foxl2a and Foxl2b in","YJ Yang, Y Wang, Z Li, L Zhou, JF Gui - 2017 - researchgate.net",YJ Yang; Y Wang; Z Li; L Zhou; JF Gui,NO AUTOCITA,,https://www.researchgate.net/profile/Jian-Fang-Gui/publication/313686360_Sequential_Divergent_and_Cooperative_Requirements_of_Foxl2a_and_Foxl2b_in_Ovary_Development_and_Maintenance_of_Zebrafish/links/592c195caca27295a80eeec4/Sequential-Divergent-and-Cooperative-Requirements-of-Foxl2a-and-Foxl2b-in-Ovary-Development-and-Maintenance-of-Zebrafish.pdf,nmxru_SAWbsJ
1,721,"Sequential, Divergent and Cooperative Requirements of Foxl2a and Foxl2b in","YJ Yang, Y Wang, Z Li, L Zhou, JF Gui - 2017 - researchgate.net",YJ Yang; Y Wang; Z Li; L Zhou; JF Gui,NO AUTOCITA,,https://www.researchgate.net/profile/Jian-Fang-Gui/publication/313686360_Sequential_Divergent_and_Cooperative_Requirements_of_Foxl2a_and_Foxl2b_in_Ovary_Development_and_Maintenance_of_Zebrafish/links/592c195caca27295a80eeec4/Sequential-Divergent-and-Cooperative-Requirements-of-Foxl2a-and-Foxl2b-in-Ovary-Development-and-Maintenance-of-Zebrafish.pdf,nmxru_SAWbsJ
2,722,Disturbed ovarian differentiation in XX; SRY-negative dogs,R Payan-Carreira - 2019 - dspace.uevora.pt,R Payan-Carreira,NO AUTOCITA,,https://dspace.uevora.pt/rdpc/handle/10174/25528,hZoPKXU5BBcJ
3,723,Pathogenesis and Treatment of Disorders of Sexual Development,"RV Pieretti, PK Donahoe - Endocrine Surgery in Children, 2017 - Springer",RV Pieretti; PK Donahoe,NO AUTOCITA,,https://link.springer.com/chapter/10.1007/978-3-662-54256-9_18,_wGeYjn3aSwJ
4,724,Effect of Mesenchymal Stem Cells on Equine Ovarian Follicular Development and Gene Expression,ST Grady - 2017 - oaktrust.library.tamu.edu,ST Grady,NO AUTOCITA,,https://oaktrust.library.tamu.edu/items/3e182a3f-ffe0-4d2f-9eef-f78953e28297,OcF0HZ_bPaMJ
5,725,Stepwise approach to oocyte depletion in Sry mutated XY female mice,"A Sakashita, T Wakai, Y Kawabata, C Nishimura… - bioRxiv, 2017 - biorxiv.org",A Sakashita; T Wakai; Y Kawabata; C Nishimura…,NO AUTOCITA,,https://www.biorxiv.org/content/10.1101/146571.abstract,eH82v-UFXQsJ
6,726,The role of vasorin in ovarian physiology and female fertility,N Rimon - 2017 - search.proquest.com,N Rimon,NO AUTOCITA,,https://search.proquest.com/openview/57d5a68df80573393d767d0dcf20b8de/1?pq-origsite=gscholar&cbl=2026366&diss=y,PWX3Vpsel5IJ
7,727,Sex Determination,"SJ Potter, DL Kumar, T DeFalco - … of the Testis …, 2017 - Springer International Publishing",SJ Potter; DL Kumar; T DeFalco,NO AUTOCITA,,,W6fPfF0aglgJ
8,728,Male Sexual Differentiation,"CH Sterling, D Wilhelm… - … of the Testis …, 2017 - Springer International Publishing",CH Sterling; D Wilhelm,NO AUTOCITA,,,OjYgzdOfnBYJ
9,729,Exploring the role of the Phosphatidylinositol-3'-Kinase (PI3K) pathway in primordial follicle activation and subsequent development,SC Spence - 2016 - era.ed.ac.uk,SC Spence,NO AUTOCITA,,https://era.ed.ac.uk/bitstreams/1cf86a81-1210-4269-84c0-5c1e9cedf866/download,D25G_Q13NMoJ
10,730,DNA damage response in in vitro matured oocytes,E Atamian - 2016 - search.proquest.com,E Atamian,NO AUTOCITA,,https://search.proquest.com/openview/88f2c9c72507c5982d4b806ebdfbff2b/1?pq-origsite=gscholar&cbl=18750,-mwFA4gg8Q8J
11,731,"Le facteur de transcription FOXL2: Un acteur clé de la différenciation de l'ovaire, de son maintien et de la fertilité","RA Veitia - Bulletin de l'Académie Nationale de Médecine, 2016 - Elsevier",RA Veitia,NO AUTOCITA,,https://www.sciencedirect.com/science/article/pii/S0001407919306545,rwVztmrBV7wJ
12,732,De novo assembled transcriptome of organs involved in reproduction in an endangered endemic Iberian cyprinid fish (Squalius pyrenaicus).,"MP Machado, J Pinho, AR Grosso, M Schartl… - researchgate.net",MP Machado; J Pinho; AR Grosso; M Schartl,NO AUTOCITA,,https://www.researchgate.net/profile/Miguel-Machado-6/publication/282858808_MP_Machado_2015_Molecular_Ecology_Resources_S_pyrenaicus_transcriptome/links/561f9e8008aed8dd19402119/MP-Machado-2015-Molecular-Ecology-Resources-S-pyrenaicus-transcriptome.pdf,fzHte4EunrMJ
13,733,Characterisation of testis-and ovary-specific long non-coding RNAs,JX Yang - 2015 - scholar.archive.org,JX Yang,NO AUTOCITA,,https://scholar.archive.org/work/kz266djwinhxlccjh3kb4qvhbe/access/wayback/https://au-east.erc.monash.edu.au/fpfiles/16417934/4711810_monash_162314.pdf,lHBKvxFVKMMJ
14,734,TARGETED GENE DISRUPTION REVEALS THE AUTOSOMAL GSDF AS A MALE SEX INITIATOR IN MEDAKA,Z XI - 2015 - scholarbank.nus.edu.sg,Z XI,NO AUTOCITA,,https://scholarbank.nus.edu.sg/entities/publication/4234ea34-14d2-42fb-b291-fff3d2643e70,g2suthCy1nEJ
15,735,Exploring Sexual Differentiation in the Tammar Wallaby Using Transcriptomics,JYL Kwok - 2015 - search.proquest.com,JYL Kwok,NO AUTOCITA,,https://search.proquest.com/openview/7a6babcaa3816547f8858b90dabb43f6/1?pq-origsite=gscholar&cbl=18750&diss=y,GNg5HI9SGMkJ
16,736,Genetics of the ovarian reserve,"A FORABOSCO - Frontiers in Genetics, 2015 - academia.edu",A FORABOSCO,NO AUTOCITA,,https://www.academia.edu/download/112599347/67b7a177c2ac91767d598021c292d98340f2.pdf,ypNMiTqNYbgJ
17,737,Novel roles for intra-and extra-follicular factors during ovulation and oocyte growth,S El-Hayek - 2015 - search.proquest.com,S El-Hayek,NO AUTOCITA,,https://search.proquest.com/openview/593c8f4fde4b300627d3420e3634094a/1?pq-origsite=gscholar&cbl=18750&diss=y,TpGvisBZi_0J
18,738,A Potential Mechanism for Follicle Activation in Zebrafish-The Role of IGF-I/Ybx1 in the Primary Growth Follicle of Zebrafish,L Zhang - 2015 - search.proquest.com,L Zhang,NO AUTOCITA,,https://search.proquest.com/openview/cc44fb2f0274029f53e05e8b3b9183d2/1?pq-origsite=gscholar&cbl=18750,RC5ZhIKtQtcJ
19,739,Mechanism of Bone Morphogenetic Protein-2 regulation of primordial follicle formation and development,P Chakraborty - 2015 - search.proquest.com,P Chakraborty,NO AUTOCITA,,https://search.proquest.com/openview/56ac5458b6470da826f5913543103934/1?pq-origsite=gscholar&cbl=18750,ku4VcBWS7ZMJ
20,740,"HMG Advance Access published February 15, 2015","B Bellessort, A Bachelot, É Heude, G Alfama… - 2015 - Citeseer",B Bellessort; A Bachelot; É Heude; G Alfama…,NO AUTOCITA,,,sTVLdrLz8zwJ
1,741,"Department of Molecular and Integrative Physiology, University of Kansas Medical Center, Kansas City, KS","LL Heckert, VA Agbor - Sertoli Cell Biology, 2015 - academia.edu",LL Heckert; VA Agbor,NO AUTOCITA,,https://www.academia.edu/download/49086666/2015SertoliCellBiology2.PDF#page=142,FVzzzoyOPCwJ
2,742,Determine the developmental dynamics of primordial follicles in the mouse ovary,W Zheng - 2014 - gupea.ub.gu.se,W Zheng,NO AUTOCITA,,https://gupea.ub.gu.se/items/180278b0-a3f5-4f09-8722-3b9b2dc2f5e0,t1UCIu6I2NkJ
3,743,FUNCTIONAL GENOMIC ANALYSIS OF GONAD DEVELOPMENT IN THE PROTANDROUS ASIAN SEABASS,J JUNHUI - 2014 - scholarbank.nus.edu.sg,J JUNHUI,NO AUTOCITA,,https://scholarbank.nus.edu.sg/entities/publication/7edea083-61c9-4d55-9deb-08a8912b5ca4,BFH7gPe2JGAJ
4,744,"Détermination du Sexe, Différenciation de la Lignée Germinale, Epigénétique et Fertilité",M Pannetier - 2022 - hal.science,M Pannetier,NO AUTOCITA,,https://hal.science/tel-04295545/,wufOVzQzSRIJ
5,745,"Genetic networks and epigenetic mechanisms of temperature-dependent sex determination in the red-eared slider turtle, Trachemys scripta",Y Matsumoto - 2014 - repositories.lib.utexas.edu,Y Matsumoto,NO AUTOCITA,,https://repositories.lib.utexas.edu/items/f07906cb-97f9-4ebb-acd9-451c6f0aa9b9,nu2HjaUNDfUJ
6,746,Molecular mechanisms of ovarian follicular development and early embryogenesis,N Gorre - 2014 - gupea.ub.gu.se,N Gorre,NO AUTOCITA,,https://gupea.ub.gu.se/server/api/core/bitstreams/680abd03-8de8-47c5-853e-1d0084d85d5d/content,v-5pLe3BkNwJ
7,747,"Jing Yuan, Wenjing Tao, Yunying","BH Cheng, D Wang - Fish Physiol Biochem, 2014 - researchgate.net",BH Cheng; D Wang,NO AUTOCITA,,https://www.researchgate.net/profile/Deshou-Wang/publication/260196063_Genome-wide_identification_phylogeny_and_gonadal_expression_of_fox_genes_in_Nile_tilapia_Oreochromis_niloticus/links/550832470cf27e990e093c1b/Genome-wide-identification-phylogeny-and-gonadal-expression-of-fox-genes-in-Nile-tilapia-Oreochromis-niloticus.pdf,YlHmbPQeN5sJ
8,748,Regulation of pituitary gonadotropin synthesis and fertility by gonadotropin-releasing hormone and activin signaling,J Fortin - 2014 - search.proquest.com,J Fortin,NO AUTOCITA,,https://search.proquest.com/openview/d02cdb5ed406a369560437bf1b94c75b/1?pq-origsite=gscholar&cbl=18750&diss=y,bthZloHLc1cJ
9,749,The potential role of hypoxia inducible factor 1 alpha in multipotent germ cells and neural stem/progenitor cells,N Takahashi - 2014 - search.proquest.com,N Takahashi,NO AUTOCITA,,https://search.proquest.com/openview/505b616d85b004f151f704ac220b89ff/1?pq-origsite=gscholar&cbl=18750,4Ru-_GKzySwJ
10,750,Fine Time Course Expression Analysis Identifies Cascades of Activation and Repression and,"SC Munger, A Natarajan, LL Looger, U Ohler, B Capel - 2013 - academia.edu",SC Munger; A Natarajan; LL Looger; U Ohler; B Capel,NO AUTOCITA,,https://www.academia.edu/download/49532396/Fine_Time_Course_Expression_Analysis_Ide20161011-2806-a7slts.pdf,E6wg5F3m5QgJ
